topic,argument,tokenized_argument,label
enough,"Customs could be a better business for border towns than prisons ever were for other rural areas. That said, it looks as though the existing port of entry facilities are utterly inadequate for the volume of legitimate trade across the border.","Customs could be a better business for border towns than prisons ever were for other rural areas . That said , it looks as though the existing port of entry facilities are utterly inadequate for the volume of legitimate trade across the border .",0
illegal labor,"There are plenty of middlemen who would garner their profits on the increased wages. None would forego their cut -- and the retailer gets the largest share of that. Just when we are finally paying serious attention to getting people to eat more fruits and vegetables in an effort to reduce the costly obesity our society is suffering from, with all its attendant effects. If more people could employ themselves on farms, we might have a better outcome. But our incentives are not set up to promote that. Correct the incentives. We don't need more factory farms.","There are plenty of middlemen who would garner their profits on the increased wages . None would forego their cut -- and the retailer gets the largest share of that . Just when we are finally paying serious attention to getting people to eat more fruits and vegetables in an effort to reduce the costly obesity our society is suffering from , with all its attendant effects . If more people could employ themselves on farms , we might have a better outcome . But our incentives are not set up to promote that . Correct the incentives . We do n't need more factory farms .",0
europe,"What is in it for Europe or the US to accept more Muslim immigrants, when all we gotten for our generosity has been terrorist acts and a truly astounding sense of ingratitude and entitlement? What is in it for us? And why is that not the first question that is asked?","What is in it for Europe or the US to accept more Muslim immigrants , when all we gotten for our generosity has been terrorist acts and a truly astounding sense of ingratitude and entitlement ? What is in it for us ? And why is that not the first question that is asked ?",1
a modern family,"Does a country that produced Sir Isaac Newton, Michael Faraday, and Charles Darwin - to name a few - does the U.K. not have enough courage to recognize the monarchy for what it is? A sad, limp remnant of a bygone era? Modern descendants of thugs who engaged in slaughter, rape and pillage before anointing themselves 'kings' deserve no respect or adulation from modern day citizens of the U.K. Even if modern royalty is only nominal and symbolic, their very existence is quite harmful to the notion of an egalitarian, democratic society to which all civilized people aspire. Put them (members of the so-called 'royal' household) out to pasture. Kings and queens belong in story books, and history books. As individuals, they're probably nice people, but the institution of monarchy is quite a different matter.","Does a country that produced Sir Isaac Newton , Michael Faraday , and Charles Darwin - to name a few - does the U.K. not have enough courage to recognize the monarchy for what it is ? A sad , limp remnant of a bygone era ? Modern descendants of thugs who engaged in slaughter , rape and pillage before anointing themselves ' kings ' deserve no respect or adulation from modern day citizens of the U.K. Even if modern royalty is only nominal and symbolic , their very existence is quite harmful to the notion of an egalitarian , democratic society to which all civilized people aspire . Put them ( members of the so - called ' royal ' household ) out to pasture . Kings and queens belong in story books , and history books . As individuals , they 're probably nice people , but the institution of monarchy is quite a different matter .",0
candidate 's spouse,"I like to hear the wives speak. Knowing Michelle Obama's education/professional life, what I hear is: 'I'm Michelle Obama and I chose this man to be my husband -- so you think I'd pick a fool?' Knowing Ann Romney's background, I heard exactly what I would have expected: ' I'm Ann Romney and I chose a good provider.' I simplify, obviously, but hearing spouses talk does tell us things we should know about the men asking for our votes. My husband both reflects me and reflects on me.","I like to hear the wives speak . Knowing Michelle Obama 's education / professional life , what I hear is : ' I 'm Michelle Obama and I chose this man to be my husband -- so you think I 'd pick a fool ? ' Knowing Ann Romney 's background , I heard exactly what I would have expected : ' I 'm Ann Romney and I chose a good provider . ' I simplify , obviously , but hearing spouses talk does tell us things we should know about the men asking for our votes . My husband both reflects me and reflects on me .",1
europe,There are over a billion Muslims in the world. Exactly how many should be allowed to come to Europe and the US? And why is it the responsibility of such places to provide help from Muslims when they won't fight for their own homelands?,There are over a billion Muslims in the world . Exactly how many should be allowed to come to Europe and the US ? And why is it the responsibility of such places to provide help from Muslims when they wo n't fight for their own homelands ?,1
kids,"I have two extremely gifted children with ADHD. Their bodies are constantly in motion, and when they were younger, they could be up and wandering the classroom without even being aware of it. They would blurt out answers, talk with their peers, and fidget ceaselessly. Part of it was boredom, yes, but with medication, they were able to learn how to monitor their behavior, to slow down their bodies, and to interact appropriately with their classmates. The teacher was able to provide enrichment lessons instead of focusing on their disruptive behavior. We parents were able to teach them self-control techniques. As they aged, we were able to wean them off meds, and they function just fine in high school. Unmedicated, I doubt they would have received the appropriately differentiated education that has allowed them to succeed in school. If a child truly has ADHD, then denying them medication is the equivalent of denying a near-sighted child glasses.","I have two extremely gifted children with ADHD . Their bodies are constantly in motion , and when they were younger , they could be up and wandering the classroom without even being aware of it . They would blurt out answers , talk with their peers , and fidget ceaselessly . Part of it was boredom , yes , but with medication , they were able to learn how to monitor their behavior , to slow down their bodies , and to interact appropriately with their classmates . The teacher was able to provide enrichment lessons instead of focusing on their disruptive behavior . We parents were able to teach them self - control techniques . As they aged , we were able to wean them off meds , and they function just fine in high school . Unmedicated , I doubt they would have received the appropriately differentiated education that has allowed them to succeed in school . If a child truly has ADHD , then denying them medication is the equivalent of denying a near - sighted child glasses .",1
restaurants,"A small restaurant near us, affiliated with a state university's hospitality program, did away with tipping early this year. It has worked quite well -- I rather enjoy tipping generously for good service -- that sort of work, after all, is a livelihood for many and should be more widely regarded as a profession. But the no-tipping system does remove considerable uncertainty as to whom and how much to tip, which I think is a source of resentment for some people.","A small restaurant near us , affiliated with a state university 's hospitality program , did away with tipping early this year . It has worked quite well -- I rather enjoy tipping generously for good service -- that sort of work , after all , is a livelihood for many and should be more widely regarded as a profession . But the no - tipping system does remove considerable uncertainty as to whom and how much to tip , which I think is a source of resentment for some people .",0
workplace,"A small restaurant near us, affiliated with a state university's hospitality program, did away with tipping early this year. It has worked quite well -- I rather enjoy tipping generously for good service -- that sort of work, after all, is a livelihood for many and should be more widely regarded as a profession. But the no-tipping system does remove considerable uncertainty as to whom and how much to tip, which I think is a source of resentment for some people.","A small restaurant near us , affiliated with a state university 's hospitality program , did away with tipping early this year . It has worked quite well -- I rather enjoy tipping generously for good service -- that sort of work , after all , is a livelihood for many and should be more widely regarded as a profession . But the no - tipping system does remove considerable uncertainty as to whom and how much to tip , which I think is a source of resentment for some people .",1
capital gains,"Eliminating tax on capital income would benefit me. However, I don't have a high income, nor do I make crucial contributions to domestic economic growth. All my spendable income is from interest, dividends, and capital gains. The total is about the reported median Adjusted Gross Income of Federal tax returns. (I have non-spendable taxable income due to converting money from a traditional IRA to a Roth IRA.) I don't think it would be fair for me to pay no income tax while someone with the same amount of income from labor pays income tax. Count me among those who prefer a democracy that is economically non-optimal to a plutocracy that is economically optimal.","Eliminating tax on capital income would benefit me . However , I do n't have a high income , nor do I make crucial contributions to domestic economic growth . All my spendable income is from interest , dividends , and capital gains . The total is about the reported median Adjusted Gross Income of Federal tax returns . ( I have non - spendable taxable income due to converting money from a traditional IRA to a Roth IRA . ) I do n't think it would be fair for me to pay no income tax while someone with the same amount of income from labor pays income tax . Count me among those who prefer a democracy that is economically non - optimal to a plutocracy that is economically optimal .",1
economists,"I can think of of two large problems: 1. Economics is far from an exact science, with precise terminology, methods of proof, and purpose. 2. It has impact affecting our personal standards of living, therefore it is hard to have a cool head and argue and think about economics from an objective point of view.","I can think of of two large problems : 1 . Economics is far from an exact science , with precise terminology , methods of proof , and purpose . 2 . It has impact affecting our personal standards of living , therefore it is hard to have a cool head and argue and think about economics from an objective point of view .",0
a problem,"This article is misleading readers into thinking all the immigrants are the problem. In fact, only illegal immigrants are , not legal. We filed the paperwork, paid for the fees , waited years for visa to be available, countless of trips to UCSIS , and U.S Consular. Years after years of waiting, we can now set foot on U.S head held high as legal immigrants. Meanwhile, illegal immigrants sneak into the U.S , anchor babies, expect to have benefits and free education without paying a penny. THAT'S THE PROBLEM. Is is fair of legal immigrants like us ? Dear Mr Saavedra, have you ever been cut in line while you are lining up in a busy restaurant or theme park? That's the same feeling of legal immigrants toward illegal immigrants and freeloaders like you.","This article is misleading readers into thinking all the immigrants are the problem . In fact , only illegal immigrants are , not legal . We filed the paperwork , paid for the fees , waited years for visa to be available , countless of trips to UCSIS , and U.S Consular . Years after years of waiting , we can now set foot on U.S head held high as legal immigrants . Meanwhile , illegal immigrants sneak into the U.S , anchor babies , expect to have benefits and free education without paying a penny . THAT 'S THE PROBLEM . Is is fair of legal immigrants like us ? Dear Mr Saavedra , have you ever been cut in line while you are lining up in a busy restaurant or theme park ? That 's the same feeling of legal immigrants toward illegal immigrants and freeloaders like you .",1
mandatory for all children,"I couldn't agree more, that parents should have a choice. it's america after all. HOWEVER, the school districts then must be allowed to reject the attendance of those unvaccinated students. Let the anti-vaxers start their own private schools that their children can attend, and die from preventable diseases to their hearts content. (and although that is cruel, it is only cruel because that is exactly what will happen to them!)","I could n't agree more , that parents should have a choice . it 's america after all . HOWEVER , the school districts then must be allowed to reject the attendance of those unvaccinated students . Let the anti - vaxers start their own private schools that their children can attend , and die from preventable diseases to their hearts content . ( and although that is cruel , it is only cruel because that is exactly what will happen to them ! )",0
control,"The bank CEO's were never made to answer for the crime they committed when they knowingly bundled bad mortgages and sold them to Freddie Mac and Fannie Mae. Eventually the housing market crashed and home owners ended up with homes worth about a third of the mortgaged debt. Our economy is still reeling from the effects of this boondoggle and only the homeowner has been punished by having his credit ruined in this deal. Most lifetime earnings were lost as a result and the big banks are still wheeling and dealing as pre usual in the new mortgage schemes they have put together today. What happened to the funds the Federal Government gave the banks to assist those in underwater home mortgages? Only the banks profited from this bailout, and no one else! Break the big banks up just as was done with ATT many years ago.","The bank CEO 's were never made to answer for the crime they committed when they knowingly bundled bad mortgages and sold them to Freddie Mac and Fannie Mae . Eventually the housing market crashed and home owners ended up with homes worth about a third of the mortgaged debt . Our economy is still reeling from the effects of this boondoggle and only the homeowner has been punished by having his credit ruined in this deal . Most lifetime earnings were lost as a result and the big banks are still wheeling and dealing as pre usual in the new mortgage schemes they have put together today . What happened to the funds the Federal Government gave the banks to assist those in underwater home mortgages ? Only the banks profited from this bailout , and no one else ! Break the big banks up just as was done with ATT many years ago .",1
cherry-picking students,"I am a NYC teacher who has taught in public, charter and now private school. My two children attend a gifted and talented public school and private school. I would never send my child to a charter school. Why? Because they will never learn how to be creative, independent and self reliant. Some of my best students have defied me in their writing, their words and their actions, albeit respectfully. In a Charter environment that is grounds for reprimand, suspension and expulsion. Any parent reading this should support local public schools and fight for more G&T programs and AP programs. Supporting Public School is the only way to ensure that we have a strong active middle class. If you do not believe me name any politician, middle management executive or faculty member whose children attend a Charter School. I rest my case.","I am a NYC teacher who has taught in public , charter and now private school . My two children attend a gifted and talented public school and private school . I would never send my child to a charter school . Why ? Because they will never learn how to be creative , independent and self reliant . Some of my best students have defied me in their writing , their words and their actions , albeit respectfully . In a Charter environment that is grounds for reprimand , suspension and expulsion . Any parent reading this should support local public schools and fight for more G&T programs and AP programs . Supporting Public School is the only way to ensure that we have a strong active middle class . If you do not believe me name any politician , middle management executive or faculty member whose children attend a Charter School . I rest my case .",0
a problem,"The undocumented migrant who stays and becomes a member of the community, adhering to the laws and contributing to the community is, in essence, a de facto citizen. He or she has earned the rights of citizenship in ways that the lucky few who obtain green cards in the lottery or have employers who can finagle HIB visas.have not earned citizenship. Congress should stop the pandering to the fearful and hateful, and figure out a way to define and recognize de facto citizenship.","The undocumented migrant who stays and becomes a member of the community , adhering to the laws and contributing to the community is , in essence , a de facto citizen . He or she has earned the rights of citizenship in ways that the lucky few who obtain green cards in the lottery or have employers who can finagle HIB visas.have not earned citizenship . Congress should stop the pandering to the fearful and hateful , and figure out a way to define and recognize de facto citizenship .",1
their land,"""In some locations along California's coast, locals already exclude non-locals from the best surf breaks ..."" Wow. Just Wow. Surf breaks are a public resource, being IN THE OCEAN. The methods used to enforce this exclusion are verbal abuse, vandalism, aggressive surfing, leash-grabbing, and violence. Did Reed Watson just endorse the use of violence to exclude people from public waterways? What methods would he approve of? Do other people get to decide whether they want to keep Reed off public property?",""" In some locations along California 's coast , locals already exclude non - locals from the best surf breaks ... "" Wow . Just Wow . Surf breaks are a public resource , being IN THE OCEAN . The methods used to enforce this exclusion are verbal abuse , vandalism , aggressive surfing , leash - grabbing , and violence . Did Reed Watson just endorse the use of violence to exclude people from public waterways ? What methods would he approve of ? Do other people get to decide whether they want to keep Reed off public property ?",0
in-state students,"Prop 13. That proposition that has me paying 10x more taxes for my house than my neighbor in an identical house next door, and my neighbor across the street, in a mirror image house paying 4x more than me. It is an immoral law, that also buried California's once envious education system ... but that's what you get with republicans: Lack of willingness to fund infrastructure of the state or nation makes the nation grate not great.","Prop 13 . That proposition that has me paying 10x more taxes for my house than my neighbor in an identical house next door , and my neighbor across the street , in a mirror image house paying 4x more than me . It is an immoral law , that also buried California 's once envious education system ... but that 's what you get with republicans : Lack of willingness to fund infrastructure of the state or nation makes the nation grate not great .",0
public universities,"Prop 13. That proposition that has me paying 10x more taxes for my house than my neighbor in an identical house next door, and my neighbor across the street, in a mirror image house paying 4x more than me. It is an immoral law, that also buried California's once envious education system ... but that's what you get with republicans: Lack of willingness to fund infrastructure of the state or nation makes the nation grate not great.","Prop 13 . That proposition that has me paying 10x more taxes for my house than my neighbor in an identical house next door , and my neighbor across the street , in a mirror image house paying 4x more than me . It is an immoral law , that also buried California 's once envious education system ... but that 's what you get with republicans : Lack of willingness to fund infrastructure of the state or nation makes the nation grate not great .",0
new employees,"Non-compete clauses are not about protecting proprietary information. That can be done with non-disclosure agreements. What they're really about is inhibiting the free market for labor. Employers use non-compete clauses to discourage employees from leaving. That saves the employer the cost and trouble of training a new worker, and it keeps wages down by restricting the employee's ability to leave if he or she does not get a raise. Non-compete clauses should be banned as a simple matter of fairness, and because competition for labor makes companies better.","Non - compete clauses are not about protecting proprietary information . That can be done with non - disclosure agreements . What they 're really about is inhibiting the free market for labor . Employers use non - compete clauses to discourage employees from leaving . That saves the employer the cost and trouble of training a new worker , and it keeps wages down by restricting the employee 's ability to leave if he or she does not get a raise . Non - compete clauses should be banned as a simple matter of fairness , and because competition for labor makes companies better .",1
noncompete deals,"Non-compete clauses are not about protecting proprietary information. That can be done with non-disclosure agreements. What they're really about is inhibiting the free market for labor. Employers use non-compete clauses to discourage employees from leaving. That saves the employer the cost and trouble of training a new worker, and it keeps wages down by restricting the employee's ability to leave if he or she does not get a raise. Non-compete clauses should be banned as a simple matter of fairness, and because competition for labor makes companies better.","Non - compete clauses are not about protecting proprietary information . That can be done with non - disclosure agreements . What they 're really about is inhibiting the free market for labor . Employers use non - compete clauses to discourage employees from leaving . That saves the employer the cost and trouble of training a new worker , and it keeps wages down by restricting the employee 's ability to leave if he or she does not get a raise . Non - compete clauses should be banned as a simple matter of fairness , and because competition for labor makes companies better .",0
research papers,"Google and Wikipedia may allow incompetent researchers to produce a flurry of activity and a work product that looks like a substitute for research. However, Google and Wikipedia are not the root cause of bad research or students who don't know how to research. A student who understands the fundamental principles of research will use various tools appropriately to reach project goals. One thing that strikes me: some people who object to the use of online tools seem to have a hazing agenda. In my opinion, if a student researches well without the long nights in the stacks, or uses intelligent online tools and techniques to narrow down the reading list, that is a good thing.","Google and Wikipedia may allow incompetent researchers to produce a flurry of activity and a work product that looks like a substitute for research . However , Google and Wikipedia are not the root cause of bad research or students who do n't know how to research . A student who understands the fundamental principles of research will use various tools appropriately to reach project goals . One thing that strikes me : some people who object to the use of online tools seem to have a hazing agenda . In my opinion , if a student researches well without the long nights in the stacks , or uses intelligent online tools and techniques to narrow down the reading list , that is a good thing .",1
parents,I believe there are no hard rules regarding parental involvement with homework. What is being overlooked in this discussion is the insight parents can get into so many aspects of their child's development including: 1) Academic progress in different subjects 2) Developing interests in potential careers 3) Relationships with teachers and even school peers 4) Early warnings of problems in school or more personal issues. Hints about all these issues can be discerned by the parent who takes time to help their children with homework which can even be just a guise for LISTENING. Homework involvement was a great opportunity to learn how our kids were doing.,I believe there are no hard rules regarding parental involvement with homework . What is being overlooked in this discussion is the insight parents can get into so many aspects of their child 's development including : 1 ) Academic progress in different subjects 2 ) Developing interests in potential careers 3 ) Relationships with teachers and even school peers 4 ) Early warnings of problems in school or more personal issues . Hints about all these issues can be discerned by the parent who takes time to help their children with homework which can even be just a guise for LISTENING . Homework involvement was a great opportunity to learn how our kids were doing .,1
wal-mart,"The new school meal guidelines from USDA will be far more of a game changer than anything WalMart does. They also will be far more effective in terms of giving manufacturers good reason to invest the money and effort to develop new products that meet the guidelines while maintaining taste. The fact is, such products on the shelves of WalMart will always have the competition from less healthy products such as you allude to. If you want to sell the vast school market, the playing field will be level. The real question is whether local school boards will accept the idea that they can't use school food programs to cross subsidize education, and that Federal school meal reimbursements need to go towards school meal production, not school bureacracy overheads.","The new school meal guidelines from USDA will be far more of a game changer than anything WalMart does . They also will be far more effective in terms of giving manufacturers good reason to invest the money and effort to develop new products that meet the guidelines while maintaining taste . The fact is , such products on the shelves of WalMart will always have the competition from less healthy products such as you allude to . If you want to sell the vast school market , the playing field will be level . The real question is whether local school boards will accept the idea that they ca n't use school food programs to cross subsidize education , and that Federal school meal reimbursements need to go towards school meal production , not school bureacracy overheads .",0
restaurants,"I'm on the side of (at least) minimum wage. But I want to raise a different issue. Since when do we owe the bakery clerk a tip? The coffee barista? Every place you go up to a counter, place an order, pick it up yourself, clear your own table--has a tip jar. Should we have tip jars for librarians? Grocery checkers? Shoe sales people? The whole thing is insane. People should work for wages, and employers should pay them. If that means the product costs more, we have a choice about consuming/buying it. PS I had my days as a waitress. So has my daughter. I understand that if you're paid no wages, you depend on tips--and I tip in restaurants. But I don't think it's the right system.","I 'm on the side of ( at least ) minimum wage . But I want to raise a different issue . Since when do we owe the bakery clerk a tip ? The coffee barista ? Every place you go up to a counter , place an order , pick it up yourself , clear your own table -- has a tip jar . Should we have tip jars for librarians ? Grocery checkers ? Shoe sales people ? The whole thing is insane . People should work for wages , and employers should pay them . If that means the product costs more , we have a choice about consuming / buying it . PS I had my days as a waitress . So has my daughter . I understand that if you 're paid no wages , you depend on tips -- and I tip in restaurants . But I do n't think it 's the right system .",1
women,"Every Miss Anything pageant is nothing more than a cattle call for the sponsor or sponsors' products. The winner is a saleswoman who trapezes around for a year hawking - excuse me, representing - the pageant's sponsors. The losers get to go home and figure out how much they owe for the makeup and beauty lessons they shelled out to compete in the pageant,","Every Miss Anything pageant is nothing more than a cattle call for the sponsor or sponsors ' products . The winner is a saleswoman who trapezes around for a year hawking - excuse me , representing - the pageant 's sponsors . The losers get to go home and figure out how much they owe for the makeup and beauty lessons they shelled out to compete in the pageant ,",1
grade colleges,"The government has a right to expect some measure of a return on the billions paid to institutions in the form of federal aid. Educators should be expected to be held accountable for some minimum degree of achievement from all the federal dollars they receive. Why throw good money into institutions that have a high dropout rate. We need to force these institutions to have ""some skin in the game"" as this will force colleges to have a stake in a students outcome.","The government has a right to expect some measure of a return on the billions paid to institutions in the form of federal aid . Educators should be expected to be held accountable for some minimum degree of achievement from all the federal dollars they receive . Why throw good money into institutions that have a high dropout rate . We need to force these institutions to have "" some skin in the game "" as this will force colleges to have a stake in a students outcome .",1
the threat,"Many commentators confuse the results of Reagan's union busting on American labor with the results of undocumented immigration. It was the former that often accelerated the latter, not least in meat and poultry processing. (Globalization also comes into play, but which party pushes hardest on free trade, and who fights minimum wage increases?) So where do the most vulnerable American workers, for whom Republican trolls have been shedding crocodile tears, come down on the issue? According to a March 2013 Pew poll, more than eight-in-ten non-Hispanic blacks (82%) favor letting illegal immigrants stay if they meet certain requirements; about half of blacks (52%) say illegal immigrants should be able to apply for citizenship. Just following the Democratic party line? Well, if the other party is spewing racial and ethnic hatred, do you have much choice? Asian-Americans were more polarized against the Republicans than even Hispanics in 2012.","Many commentators confuse the results of Reagan 's union busting on American labor with the results of undocumented immigration . It was the former that often accelerated the latter , not least in meat and poultry processing . ( Globalization also comes into play , but which party pushes hardest on free trade , and who fights minimum wage increases ? ) So where do the most vulnerable American workers , for whom Republican trolls have been shedding crocodile tears , come down on the issue ? According to a March 2013 Pew poll , more than eight - in - ten non - Hispanic blacks ( 82 % ) favor letting illegal immigrants stay if they meet certain requirements ; about half of blacks ( 52 % ) say illegal immigrants should be able to apply for citizenship . Just following the Democratic party line ? Well , if the other party is spewing racial and ethnic hatred , do you have much choice ? Asian - Americans were more polarized against the Republicans than even Hispanics in 2012 .",0
grade colleges,"This is a larger, more complex and more nuanced problem than administering the VA. How did the government do on that score? Here the market will adjust and the consumer will eventually win. Parents are already making more informed decisions without politically motivated advice.","This is a larger , more complex and more nuanced problem than administering the VA . How did the government do on that score ? Here the market will adjust and the consumer will eventually win . Parents are already making more informed decisions without politically motivated advice .",0
refugees,"Obama says we are at war, and that this gives him the authority to do whatever he wants in Libya and Syria, as well as to fire up the wars again in Afghanistan and Iraq. If we are at war, then we are idiots to admit anyone from those countries.","Obama says we are at war , and that this gives him the authority to do whatever he wants in Libya and Syria , as well as to fire up the wars again in Afghanistan and Iraq . If we are at war , then we are idiots to admit anyone from those countries .",0
more harm,"There seem to be deficits of wisdom and historical awareness with the drone program as well as with other weapons programs. Any new weapon can be ultimately used against its developer: tanks against the British, SAMs against the US. Atomic and nuclear bombs have done the opposite of making the US more secure. What will our security be like when drones are very numerous, when they can be controlled by mobile phones, and when we have made so many enemies?","There seem to be deficits of wisdom and historical awareness with the drone program as well as with other weapons programs . Any new weapon can be ultimately used against its developer : tanks against the British , SAMs against the US . Atomic and nuclear bombs have done the opposite of making the US more secure . What will our security be like when drones are very numerous , when they can be controlled by mobile phones , and when we have made so many enemies ?",0
former colonial powers,"Blacks sold blacks into European/American slavery. The African tradition of slavery still persists in many parts of Africa. Mauritania leads with an estimated 10-20% of the population in slavery. Move on liberals ..... focus on today's slavery and the cultural issues that face Africa. How about focusing on today's sex slavery in the US in most major cities. Modern efforts to atone such as the Pigford Settlement are a total embarrassment and an under-reported scandal costing taxpayers $4-5 Billion. BTW - My family never owned slaves but a dozen of my family members fought in the civil War with two being killed, one in Savannah after the march to the sea and one on the second day of Gettysburg. Nobody paid my family any reparations. Move on!","Blacks sold blacks into European / American slavery . The African tradition of slavery still persists in many parts of Africa . Mauritania leads with an estimated 10 - 20 % of the population in slavery . Move on liberals ..... focus on today 's slavery and the cultural issues that face Africa . How about focusing on today 's sex slavery in the US in most major cities . Modern efforts to atone such as the Pigford Settlement are a total embarrassment and an under - reported scandal costing taxpayers $ 4 - 5 Billion . BTW - My family never owned slaves but a dozen of my family members fought in the civil War with two being killed , one in Savannah after the march to the sea and one on the second day of Gettysburg . Nobody paid my family any reparations . Move on !",1
national security,"The farm subsidies actually hurt the type of farm that has traditionally been the backbone of America. I refer to the small to medium size family farm. Smaller farms can detail their crops and rotations to better conserve soil and water. They support a traditional farmer life style. Small farms support small towns, local banks, grocery stores, schools, equipment dealers and a wide farmer's work ethic. Larger farms destroy all of this. If we support farms in order to help America, let's support small farms that actually help it.","The farm subsidies actually hurt the type of farm that has traditionally been the backbone of America . I refer to the small to medium size family farm . Smaller farms can detail their crops and rotations to better conserve soil and water . They support a traditional farmer life style . Small farms support small towns , local banks , grocery stores , schools , equipment dealers and a wide farmer 's work ethic . Larger farms destroy all of this . If we support farms in order to help America , let 's support small farms that actually help it .",1
states,"As a hard of hearing person and now a educator of the deaf, I too believe that parents should have a choice, however, it should be an informed choice that most parents do not have. What parents seem to consider is the here and now, not what may be better for the deaf child when they become an adult. For example. I was raised in an oral program. My parents believed as this was a hearing world, I needed to learn to be in a hearing world. That was fine until I became an adult and had my own children. While both of my children are hearing, due to complications in my pregnancy, I lost most of my residual hearing and while my speech was incredible, I couldn't understand anyone. Now I know sign language and am able to communicate without a problem, but it took many years to learn. I am a firm believer that child should be taught both, sign language and have speech therapy in hopes to use everything they can to communicate with others.","As a hard of hearing person and now a educator of the deaf , I too believe that parents should have a choice , however , it should be an informed choice that most parents do not have . What parents seem to consider is the here and now , not what may be better for the deaf child when they become an adult . For example . I was raised in an oral program . My parents believed as this was a hearing world , I needed to learn to be in a hearing world . That was fine until I became an adult and had my own children . While both of my children are hearing , due to complications in my pregnancy , I lost most of my residual hearing and while my speech was incredible , I could n't understand anyone . Now I know sign language and am able to communicate without a problem , but it took many years to learn . I am a firm believer that child should be taught both , sign language and have speech therapy in hopes to use everything they can to communicate with others .",1
special schools for the deaf,"As a hard of hearing person and now a educator of the deaf, I too believe that parents should have a choice, however, it should be an informed choice that most parents do not have. What parents seem to consider is the here and now, not what may be better for the deaf child when they become an adult. For example. I was raised in an oral program. My parents believed as this was a hearing world, I needed to learn to be in a hearing world. That was fine until I became an adult and had my own children. While both of my children are hearing, due to complications in my pregnancy, I lost most of my residual hearing and while my speech was incredible, I couldn't understand anyone. Now I know sign language and am able to communicate without a problem, but it took many years to learn. I am a firm believer that child should be taught both, sign language and have speech therapy in hopes to use everything they can to communicate with others.","As a hard of hearing person and now a educator of the deaf , I too believe that parents should have a choice , however , it should be an informed choice that most parents do not have . What parents seem to consider is the here and now , not what may be better for the deaf child when they become an adult . For example . I was raised in an oral program . My parents believed as this was a hearing world , I needed to learn to be in a hearing world . That was fine until I became an adult and had my own children . While both of my children are hearing , due to complications in my pregnancy , I lost most of my residual hearing and while my speech was incredible , I could n't understand anyone . Now I know sign language and am able to communicate without a problem , but it took many years to learn . I am a firm believer that child should be taught both , sign language and have speech therapy in hopes to use everything they can to communicate with others .",1
vaccination,"It seems clear from reading the comments that the vaccine debate is falsely represented. While there are those who absolutely refuse any vaccinations, they are clearly in the minority. In fact, the vast majority of those who question the childhood vaccine schedule are looking most closely at a few of them, specifically Varicella, Flu, Hepatitis B and to some extent MMR. Their reasons for questioning these vaccines are solid and sound, and answers are still lacking to key questions about their safety, effectiveness and necessity. There is another camp of people who, like me, believe in vaccines and vaccinate their children but who question the recommendations and educate myself. I am lucky to have a child who can handle vaccinations without consequence, but it is cruel and disrespectful to families affected by vaccine injuries to claim that their child's suffering is for the greater good. You don't need a medical degree to think critically about your family's health and to demand answers from vaccine manufacturers who are, frankly, not forthcoming with information.","It seems clear from reading the comments that the vaccine debate is falsely represented . While there are those who absolutely refuse any vaccinations , they are clearly in the minority . In fact , the vast majority of those who question the childhood vaccine schedule are looking most closely at a few of them , specifically Varicella , Flu , Hepatitis B and to some extent MMR . Their reasons for questioning these vaccines are solid and sound , and answers are still lacking to key questions about their safety , effectiveness and necessity . There is another camp of people who , like me , believe in vaccines and vaccinate their children but who question the recommendations and educate myself . I am lucky to have a child who can handle vaccinations without consequence , but it is cruel and disrespectful to families affected by vaccine injuries to claim that their child 's suffering is for the greater good . You do n't need a medical degree to think critically about your family 's health and to demand answers from vaccine manufacturers who are , frankly , not forthcoming with information .",1
refugees,We can not allow the refugees into Western countries. It's too risky. Any political leader who supports Syrian refugees coming into the U.S. should resign their position immediately if one of those refugee commits any act of violence in our country.,We can not allow the refugees into Western countries . It 's too risky . Any political leader who supports Syrian refugees coming into the U.S. should resign their position immediately if one of those refugee commits any act of violence in our country .,0
europe,We can not allow the refugees into Western countries. It's too risky. Any political leader who supports Syrian refugees coming into the U.S. should resign their position immediately if one of those refugee commits any act of violence in our country.,We can not allow the refugees into Western countries . It 's too risky . Any political leader who supports Syrian refugees coming into the U.S. should resign their position immediately if one of those refugee commits any act of violence in our country .,0
the u.s. embassy,I believe it will send a message to Palestine and the Muslim world that Israel will never agree to a two state decision and will lead to more war. Israel is illegally building settlements and should stop. We Americans also need to stop giving Israel our hard paid American tax money and use it in our country.,I believe it will send a message to Palestine and the Muslim world that Israel will never agree to a two state decision and will lead to more war . Israel is illegally building settlements and should stop . We Americans also need to stop giving Israel our hard paid American tax money and use it in our country .,0
