topic,argument,label,tokenized_argument
government,"Allowing foreign airlines to serve domestic routes is definitely something that doesn't get brought up enough. It's funny how the domestic carriers are all for deregulation and increased competition in theory, but once outside foreign airlines are involved, they rely on what you rightfully point out is antiquated regulation. Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies. The airline industry is a monopolistic entity and should be treated as such. This means to be required to cooperate with certain regulations.",1,"Allowing foreign airlines to serve domestic routes is definitely something that does n't get brought up enough . It 's funny how the domestic carriers are all for deregulation and increased competition in theory , but once outside foreign airlines are involved , they rely on what you rightfully point out is antiquated regulation . Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies . The airline industry is a monopolistic entity and should be treated as such . This means to be required to cooperate with certain regulations ."
nations,"Avital says ""... let's start with the basics. Any nation wishing to declare independence should meet three essential elements: a strong central government, control of defined territory and security. "". Well we could also start with some basics about the legitimacy of a government to govern people under its control. Without expounding broadly, any basic set of rights would lead to changes in the West Bank and Gaza; and maybe within Israel itself. Israel needs to grant more autonomy, stop creating more settlements, and accept the fact there will be violent acts for decades; let's ""get a move on"". The status quo is not working.",0,"Avital says "" ... let 's start with the basics . Any nation wishing to declare independence should meet three essential elements : a strong central government , control of defined territory and security . "" . Well we could also start with some basics about the legitimacy of a government to govern people under its control . Without expounding broadly , any basic set of rights would lead to changes in the West Bank and Gaza ; and maybe within Israel itself . Israel needs to grant more autonomy , stop creating more settlements , and accept the fact there will be violent acts for decades ; let 's "" get a move on "" . The status quo is not working ."
a problem,"America is the richest nation in the world, nearly twice as rich as we were on a per capita basis just 20 years ago. My resentment is with the hording of resources by a small number of Americans for their own benefit. The GOP supports local control, especially for schools, so the rich won't have to pay the taxes it costs to have a civilized society.",0,"America is the richest nation in the world , nearly twice as rich as we were on a per capita basis just 20 years ago . My resentment is with the hording of resources by a small number of Americans for their own benefit . The GOP supports local control , especially for schools , so the rich wo n't have to pay the taxes it costs to have a civilized society ."
immigration,We have a woman sitting in federal prison because she refused to abide by the disputed 5-4 ruling of the supreme court. Meanwhile we have entire sanctuary cities in brazen and unrepentant violation of federal immigration laws who suffer zero consequences. Instead they are cheered on by leftist for repudiating and nullifying the federal immigration laws in their communities.,0,We have a woman sitting in federal prison because she refused to abide by the disputed 5 - 4 ruling of the supreme court . Meanwhile we have entire sanctuary cities in brazen and unrepentant violation of federal immigration laws who suffer zero consequences . Instead they are cheered on by leftist for repudiating and nullifying the federal immigration laws in their communities .
the city,"I am surprised by the naivete of many commenters and even some contributors. The business of NY is real estate and the banks that finance it. Much like the business of Washington is government and the business of Las Vegas is gambling. Real Estate taxes and the revenues that come from the construction of new buildings is the lifeblood of the city. It has been that way for at least two hundred years. Ours is not a national capital like London, Paris, or Berlin. We are a business city and have to generate as well as spend money. NY has been very good at both things for many decades. The idea that somehow real estate interests are out of control or taking over how the city is run is perhaps news for 1815, not 2015. Without the millionaires and billionaires building and buying these fancy new places, New York would be Philadelphia. Philadelphia is a lovely place and if you prefer it, you should seriously consider moving there because NY is never going to be Philadelphia.",1,"I am surprised by the naivete of many commenters and even some contributors . The business of NY is real estate and the banks that finance it . Much like the business of Washington is government and the business of Las Vegas is gambling . Real Estate taxes and the revenues that come from the construction of new buildings is the lifeblood of the city . It has been that way for at least two hundred years . Ours is not a national capital like London , Paris , or Berlin . We are a business city and have to generate as well as spend money . NY has been very good at both things for many decades . The idea that somehow real estate interests are out of control or taking over how the city is run is perhaps news for 1815 , not 2015 . Without the millionaires and billionaires building and buying these fancy new places , New York would be Philadelphia . Philadelphia is a lovely place and if you prefer it , you should seriously consider moving there because NY is never going to be Philadelphia ."
their children,"I completely agree with the comments posted by Mike Melcher. Milner used this as an opportunity to push his upcoming book. Yes equality is a problem and has been a problem throughout human existence. He avoided the issue. All kids need to do homework. It is a simple way to see if your child is learning, if they sit down in front of an assignment and have no idea what to do, you as a parent need to be aware of that and help them learn. It's part of the job description, at least in my book. And if I can teach my kid more than someone else, well that's life. Someone will always have more and someone will always have less. I still need to do the best I can.",1,"I completely agree with the comments posted by Mike Melcher . Milner used this as an opportunity to push his upcoming book . Yes equality is a problem and has been a problem throughout human existence . He avoided the issue . All kids need to do homework . It is a simple way to see if your child is learning , if they sit down in front of an assignment and have no idea what to do , you as a parent need to be aware of that and help them learn . It 's part of the job description , at least in my book . And if I can teach my kid more than someone else , well that 's life . Someone will always have more and someone will always have less . I still need to do the best I can ."
privatization,"I'm sick of proponents glorifying the benefits of outsourcing because Americans have lost their jobs, thanks to lobbyists, political leanings and Wall Streets' focus on the bottom line. There is a correlation between our high unemployment rate and outsourcing. Off-shoring is the appropriate word but when you are one of the millions whose job is gone, off-shoring and outsourcing mean the same thing: no job. The biggest fear now is that when Tea Partiers and Republicans finish taking the government apart with the rataionale of getting spending under control, unemployment may be higher. Because outsourcing has the mantra of cheapest and lowest cost, our neighbors and children pay the cost. The wages paid in India, China, Brazil are not enough to support American lifestyles, communities and housing. Having seen the devastation that outsourcing has done to communities I've traveled to, I no longer support it. The devastating cost has long outweighed the benefits.",0,"I 'm sick of proponents glorifying the benefits of outsourcing because Americans have lost their jobs , thanks to lobbyists , political leanings and Wall Streets ' focus on the bottom line . There is a correlation between our high unemployment rate and outsourcing . Off - shoring is the appropriate word but when you are one of the millions whose job is gone , off - shoring and outsourcing mean the same thing : no job . The biggest fear now is that when Tea Partiers and Republicans finish taking the government apart with the rataionale of getting spending under control , unemployment may be higher . Because outsourcing has the mantra of cheapest and lowest cost , our neighbors and children pay the cost . The wages paid in India , China , Brazil are not enough to support American lifestyles , communities and housing . Having seen the devastation that outsourcing has done to communities I 've traveled to , I no longer support it . The devastating cost has long outweighed the benefits ."
kids,"""Everyone is entitled to his own opinion, but not his own facts."" ---- Daniel Patrick Moynihan All schools should attempt to teach students facts. Give the students, as they mature, the ability to reach their own opinions based upon those facts.",1,""" Everyone is entitled to his own opinion , but not his own facts . "" ---- Daniel Patrick Moynihan All schools should attempt to teach students facts . Give the students , as they mature , the ability to reach their own opinions based upon those facts ."
research papers,"I personally think that using arguments and evidence is central in any debate. However the nature of research changed with the advent of databases and google. Moreover the Internet has dramatically changed the way people discuss or just get information about public issues. Perhaps, it would be more helpful to teach students how to deal with digital tools more consciously. For example, when I was a TA, my supervisor gave to his undergraduate students a very original assignment: writing a wikipedia entry. Writing a Wikipedia article seems a simple task, it is a very challenging work because first of all it is an hypertext and references, quotations, link are central to prove both the entry is verifiable and well structured. Second, editors review all articles that are submitted and there is a group approval system to determine if content is published, or rejected in the case of plagiarism or poor quality.",1,"I personally think that using arguments and evidence is central in any debate . However the nature of research changed with the advent of databases and google . Moreover the Internet has dramatically changed the way people discuss or just get information about public issues . Perhaps , it would be more helpful to teach students how to deal with digital tools more consciously . For example , when I was a TA , my supervisor gave to his undergraduate students a very original assignment : writing a wikipedia entry . Writing a Wikipedia article seems a simple task , it is a very challenging work because first of all it is an hypertext and references , quotations , link are central to prove both the entry is verifiable and well structured . Second , editors review all articles that are submitted and there is a group approval system to determine if content is published , or rejected in the case of plagiarism or poor quality ."
a useful excercise for college students,"I personally think that using arguments and evidence is central in any debate. However the nature of research changed with the advent of databases and google. Moreover the Internet has dramatically changed the way people discuss or just get information about public issues. Perhaps, it would be more helpful to teach students how to deal with digital tools more consciously. For example, when I was a TA, my supervisor gave to his undergraduate students a very original assignment: writing a wikipedia entry. Writing a Wikipedia article seems a simple task, it is a very challenging work because first of all it is an hypertext and references, quotations, link are central to prove both the entry is verifiable and well structured. Second, editors review all articles that are submitted and there is a group approval system to determine if content is published, or rejected in the case of plagiarism or poor quality.",1,"I personally think that using arguments and evidence is central in any debate . However the nature of research changed with the advent of databases and google . Moreover the Internet has dramatically changed the way people discuss or just get information about public issues . Perhaps , it would be more helpful to teach students how to deal with digital tools more consciously . For example , when I was a TA , my supervisor gave to his undergraduate students a very original assignment : writing a wikipedia entry . Writing a Wikipedia article seems a simple task , it is a very challenging work because first of all it is an hypertext and references , quotations , link are central to prove both the entry is verifiable and well structured . Second , editors review all articles that are submitted and there is a group approval system to determine if content is published , or rejected in the case of plagiarism or poor quality ."
illegal labor,"Totally agree with this view, but I have not heard any comments pertaining the posture of Big Farming and their supporters. Regardless I will gladly pay the higher price of vegetables if I new it helps a family owned business.",0,"Totally agree with this view , but I have not heard any comments pertaining the posture of Big Farming and their supporters . Regardless I will gladly pay the higher price of vegetables if I new it helps a family owned business ."
farms,"Totally agree with this view, but I have not heard any comments pertaining the posture of Big Farming and their supporters. Regardless I will gladly pay the higher price of vegetables if I new it helps a family owned business.",1,"Totally agree with this view , but I have not heard any comments pertaining the posture of Big Farming and their supporters . Regardless I will gladly pay the higher price of vegetables if I new it helps a family owned business ."
overcrowding,"If we just had millions upon billions living in unindustrialized countries or places in which people had no discretionary income to participate in a consumer society, Erhlich would have remained wrong. But societies around the globe have changed, and everyone desires a higher standard of living. Now Erhlich is right. Okay, let's make an effort to reduce consumption. But does not our economy and our whole way of life rest on the foundation of a consumer society? Without the populace subscribing to and participating in a society dedicated to making or marketing things and buying them, how do we structure society then? What do people do in lieu of buying stuff? How is power accorded and meted out? How do people obtain the necessities? How do they generate income? I would suggest that there is more to the challenge than ""to fix capitalism by encouraging innovation in the technologies that can deliver a liveable world. "" There will have to be a philosophy with which to address nature and the universe, for both the powers-that-be and hoi polloi.",0,"If we just had millions upon billions living in unindustrialized countries or places in which people had no discretionary income to participate in a consumer society , Erhlich would have remained wrong . But societies around the globe have changed , and everyone desires a higher standard of living . Now Erhlich is right . Okay , let 's make an effort to reduce consumption . But does not our economy and our whole way of life rest on the foundation of a consumer society ? Without the populace subscribing to and participating in a society dedicated to making or marketing things and buying them , how do we structure society then ? What do people do in lieu of buying stuff ? How is power accorded and meted out ? How do people obtain the necessities ? How do they generate income ? I would suggest that there is more to the challenge than "" to fix capitalism by encouraging innovation in the technologies that can deliver a liveable world . "" There will have to be a philosophy with which to address nature and the universe , for both the powers - that - be and hoi polloi ."
pot,. Do alcohol and marijuana affect some users negatively? Absolutely. Should minors be allowed to legally consume either one? No. But the war on drugs is a failure. All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad. I don't endorse the use of either marijuana or alcohol. But making them illegal protects no one.,1,. Do alcohol and marijuana affect some users negatively ? Absolutely . Should minors be allowed to legally consume either one ? No . But the war on drugs is a failure . All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad . I do n't endorse the use of either marijuana or alcohol . But making them illegal protects no one .
national security,Very one sided discussion: 1. All subsidies go to rich people because there purpose is to draw investment capital into those parts of the market. They have to go to people who have captial. 2. Decreases in farm subsidies will decrease farm production and increase food prices for everyone. 3. Increased farm prices will decrease exports and causing further decreases in production and increase in prices 4. Potential food shortages is a national security issue.,1,Very one sided discussion : 1 . All subsidies go to rich people because there purpose is to draw investment capital into those parts of the market . They have to go to people who have captial . 2 . Decreases in farm subsidies will decrease farm production and increase food prices for everyone . 3 . Increased farm prices will decrease exports and causing further decreases in production and increase in prices 4 . Potential food shortages is a national security issue .
the euro zone,"Optimism, please ! The sky is not falling as some predict. Papandreou has shrewdly realized he can can pressure Europe for a better deal. Thus in the end there's a bigger haircut and Greece remains in the Euro. Ditto for the others.",1,"Optimism , please ! The sky is not falling as some predict . Papandreou has shrewdly realized he can can pressure Europe for a better deal . Thus in the end there 's a bigger haircut and Greece remains in the Euro . Ditto for the others ."
motherhood,"In today's Western world, almost all children survive to adulthood, thanks to good medical care, no wars, and a much better standard of living. In this scenario, there's no real need to have lots of children, parents can just have 1 (let's say) and be reasonably certain that that child will have a normal life. If it's OK to have just one child, then women feel that they don't need to start early. A woman in her late 30s can still bear that one child, so delayed motherhood makes perfect sense. In the past, women started early because they planned several children, and that in turn was caused by high mortality.",1,"In today 's Western world , almost all children survive to adulthood , thanks to good medical care , no wars , and a much better standard of living . In this scenario , there 's no real need to have lots of children , parents can just have 1 ( let 's say ) and be reasonably certain that that child will have a normal life . If it 's OK to have just one child , then women feel that they do n't need to start early . A woman in her late 30s can still bear that one child , so delayed motherhood makes perfect sense . In the past , women started early because they planned several children , and that in turn was caused by high mortality ."
workplace,"the title, ""It's as American as Apple pie"" is childish. It's as if 'smoking is American in 1960 and thus a good thing.' The whole system is broken. Tips range all over the place....Restaurants in America should learn to global system of paying standard wages and tipping should be just a minor thank you. Use to be 10 -15% was a good tip. Now it's 20-30%. Soon it will be considered declasse to tip less then 50%. Wake up and smell the inequity.",0,"the title , "" It 's as American as Apple pie "" is childish . It 's as if ' smoking is American in 1960 and thus a good thing . ' The whole system is broken . Tips range all over the place .... Restaurants in America should learn to global system of paying standard wages and tipping should be just a minor thank you . Use to be 10 -15 % was a good tip . Now it 's 20 - 30 % . Soon it will be considered declasse to tip less then 50 % . Wake up and smell the inequity ."
restaurants,"the title, ""It's as American as Apple pie"" is childish. It's as if 'smoking is American in 1960 and thus a good thing.' The whole system is broken. Tips range all over the place....Restaurants in America should learn to global system of paying standard wages and tipping should be just a minor thank you. Use to be 10 -15% was a good tip. Now it's 20-30%. Soon it will be considered declasse to tip less then 50%. Wake up and smell the inequity.",0,"the title , "" It 's as American as Apple pie "" is childish . It 's as if ' smoking is American in 1960 and thus a good thing . ' The whole system is broken . Tips range all over the place .... Restaurants in America should learn to global system of paying standard wages and tipping should be just a minor thank you . Use to be 10 -15 % was a good tip . Now it 's 20 - 30 % . Soon it will be considered declasse to tip less then 50 % . Wake up and smell the inequity ."
legislation,The D.C. Metro area is a good laboratory for this topic. There are literally scores of thousands of morbidly obese Federal workers slithering all over this place. Costing taxpayers billions for their desire to stuff food down their fat throats means they need to be held accountable. Overweight? No health insurance.,1,The D.C. Metro area is a good laboratory for this topic . There are literally scores of thousands of morbidly obese Federal workers slithering all over this place . Costing taxpayers billions for their desire to stuff food down their fat throats means they need to be held accountable . Overweight ? No health insurance .
the u.s.,Claiming that Assad and ISIS are both evil suggest a moral equivalence that is unjustified. Assad uses horrible means to stay in power but we should not forget that before the trouble started he was quite popular and many assume that he might win free elections. Daily life in peace under ISIS is fundamentally more troublesome. The trouble with expanding attacks on ISIS to Syria is that it gives Washington a role in the Syrian conflict. We may also see that once Washington starts bombing them many ISIS members will start to call themselves members of Al Nusra or some other Syrian rebel group. In my opinion the only way to go forward is to strive for an agreement between Assad and the moderate opposition. Until now the US has sabotaged such negotiations and supported those rebels who don't want to compromise. But if Washington gets serious about negotiations and presses the other countries supporting the rebels to get similarly serious some compromise should be possible.,0,Claiming that Assad and ISIS are both evil suggest a moral equivalence that is unjustified . Assad uses horrible means to stay in power but we should not forget that before the trouble started he was quite popular and many assume that he might win free elections . Daily life in peace under ISIS is fundamentally more troublesome . The trouble with expanding attacks on ISIS to Syria is that it gives Washington a role in the Syrian conflict . We may also see that once Washington starts bombing them many ISIS members will start to call themselves members of Al Nusra or some other Syrian rebel group . In my opinion the only way to go forward is to strive for an agreement between Assad and the moderate opposition . Until now the US has sabotaged such negotiations and supported those rebels who do n't want to compromise . But if Washington gets serious about negotiations and presses the other countries supporting the rebels to get similarly serious some compromise should be possible .
a bad deal for cities and states,"In my state, the guards at the gates of a major Air Force base were privatized! A security company took over, despite thousands of soldiers on base. At least until the man who owned the security guard company took off one day without paying the guards. And that's just one case. In nearly every instance where knee-jerk privatizers take over, the workers lose pay and benefits, a few owners rake in our tax money, and services sink to the bottom of a deep, dark pit. In Afghanistan and Iraq, Halliburton et al. rake in billions year after year, take the lion's share, and then farm out the work to sub-sub-sub contractors, who get pennies on the dollar and do a cheap, ineffective job--if it's done at all. And no one in power complains. When do we stop the madness?",0,"In my state , the guards at the gates of a major Air Force base were privatized ! A security company took over , despite thousands of soldiers on base . At least until the man who owned the security guard company took off one day without paying the guards . And that 's just one case . In nearly every instance where knee - jerk privatizers take over , the workers lose pay and benefits , a few owners rake in our tax money , and services sink to the bottom of a deep , dark pit . In Afghanistan and Iraq , Halliburton et al . rake in billions year after year , take the lion 's share , and then farm out the work to sub - sub - sub contractors , who get pennies on the dollar and do a cheap , ineffective job -- if it 's done at all . And no one in power complains . When do we stop the madness ?"
restaurants,"i travel in many places in the world where tipping is really just that..Not in the US where it should be called 'wages'. And the restaurants are packed. (see Paris etc). When you get the bill you don't have to factor in TAXES, TIPPING etc. Just because something has been done for years doesn't make it a good thing.",1,"i travel in many places in the world where tipping is really just that .. Not in the US where it should be called ' wages ' . And the restaurants are packed . ( see Paris etc ) . When you get the bill you do n't have to factor in TAXES , TIPPING etc . Just because something has been done for years does n't make it a good thing ."
workplace,"i travel in many places in the world where tipping is really just that..Not in the US where it should be called 'wages'. And the restaurants are packed. (see Paris etc). When you get the bill you don't have to factor in TAXES, TIPPING etc. Just because something has been done for years doesn't make it a good thing.",0,"i travel in many places in the world where tipping is really just that .. Not in the US where it should be called ' wages ' . And the restaurants are packed . ( see Paris etc ) . When you get the bill you do n't have to factor in TAXES , TIPPING etc . Just because something has been done for years does n't make it a good thing ."
everyone,"My wife and I are long-time vegans raising a healthy vegan child. Our wonderful daughter is above-average in height and in the 95th percentile in head size. She has hit virtually every developmental milestone at least a month ahead of average, and she has been regularly declared healthy and above average by our pediatrician, who has decades of experience with thousands of children and who has declared that he is comfortable with our vegan choice. We know at least a dozen other vegan children who are healthy and high-functioning. That's consistent with the findings of the American Dietetic Association, the nation's largest organization of nutrition scientists, which has issued a position paper written by experts who reviewed the existing peer-reviewed literature and found that well-planned vegan diets are healthful for infants and children. The considered opinion of such experts--and of our pediatrician--are what we rely on to make decisions about our child. We don't tend to factor in the opinions of cookbook writers.",1,"My wife and I are long - time vegans raising a healthy vegan child . Our wonderful daughter is above - average in height and in the 95th percentile in head size . She has hit virtually every developmental milestone at least a month ahead of average , and she has been regularly declared healthy and above average by our pediatrician , who has decades of experience with thousands of children and who has declared that he is comfortable with our vegan choice . We know at least a dozen other vegan children who are healthy and high - functioning . That 's consistent with the findings of the American Dietetic Association , the nation 's largest organization of nutrition scientists , which has issued a position paper written by experts who reviewed the existing peer - reviewed literature and found that well - planned vegan diets are healthful for infants and children . The considered opinion of such experts -- and of our pediatrician -- are what we rely on to make decisions about our child . We do n't tend to factor in the opinions of cookbook writers ."
their land,"When a hurricane hits and the beaches are damaged, it is the tax payer who pays to have the beaches restored. Why do beach house owners believe they can cut off access to a beach when it is the tax payers who pay to maintain it? If they refuse to allow access to the beach, and the local police departments ticket & tow cars parked on the street owned by out of towners using the beach, then the government should exercise eminent domain, kick the owners to the curb and raze the houses. The beach and the ocean belong to everyone, and everyone should have full and free access. FREE access. Don't get me started on towns that have the nerve to charge a fee to allow people the privilege of sticking their toes in the sand. That is absurd, too.",0,"When a hurricane hits and the beaches are damaged , it is the tax payer who pays to have the beaches restored . Why do beach house owners believe they can cut off access to a beach when it is the tax payers who pay to maintain it ? If they refuse to allow access to the beach , and the local police departments ticket & tow cars parked on the street owned by out of towners using the beach , then the government should exercise eminent domain , kick the owners to the curb and raze the houses . The beach and the ocean belong to everyone , and everyone should have full and free access . FREE access . Do n't get me started on towns that have the nerve to charge a fee to allow people the privilege of sticking their toes in the sand . That is absurd , too ."
newspapers,"What has been uncovered so far is that there are faceless, nameless people posing as real journalist deciding what stories are important and not important with ZERO oversight from an editorial board or any peer review. Facebook should be taken for what it really is ----- Just a BLOG in the Blogosphere of the Internet. Facebook is only useful for sharing photos of your children or dogs and cats.",1,"What has been uncovered so far is that there are faceless , nameless people posing as real journalist deciding what stories are important and not important with ZERO oversight from an editorial board or any peer review . Facebook should be taken for what it really is ----- Just a BLOG in the Blogosphere of the Internet . Facebook is only useful for sharing photos of your children or dogs and cats ."
news,"What has been uncovered so far is that there are faceless, nameless people posing as real journalist deciding what stories are important and not important with ZERO oversight from an editorial board or any peer review. Facebook should be taken for what it really is ----- Just a BLOG in the Blogosphere of the Internet. Facebook is only useful for sharing photos of your children or dogs and cats.",0,"What has been uncovered so far is that there are faceless , nameless people posing as real journalist deciding what stories are important and not important with ZERO oversight from an editorial board or any peer review . Facebook should be taken for what it really is ----- Just a BLOG in the Blogosphere of the Internet . Facebook is only useful for sharing photos of your children or dogs and cats ."
speech,"What the NJ Transit employee failed to understand is that there is a distinction between free speech rights (burning a Koran, a flag or what have you) and the fact that employment in America is, by and large, at-will -- you can get fired if your boss doesn't like the color of your socks. If his off-hours -- but very public and very controversial -- actions were deemed to affect his workplace efficiency, then his employer had a perfect right to fire him. Sadly, this particular individual has learned, in the harshest way possible, a rule of Free Speech that many tend to forget in our times: just because you have the right to say whatever you want it doesn't mean that it's always a smart idea to do so.",0,"What the NJ Transit employee failed to understand is that there is a distinction between free speech rights ( burning a Koran , a flag or what have you ) and the fact that employment in America is , by and large , at - will -- you can get fired if your boss does n't like the color of your socks . If his off - hours -- but very public and very controversial -- actions were deemed to affect his workplace efficiency , then his employer had a perfect right to fire him . Sadly , this particular individual has learned , in the harshest way possible , a rule of Free Speech that many tend to forget in our times : just because you have the right to say whatever you want it does n't mean that it 's always a smart idea to do so ."
prostituion,Should be legal. Sex work - oldest profession - is not going away. Reduces AIDS and STDs when controlled. Half the celebrities are sex workers of sorts selling their bodies so why not the ones who actually have sex be allowed. Not everyone wants to do that. It has a strange effect on the psyche of women. An act made for bonding and love done with people you dont like - messes with the mind.,1,Should be legal . Sex work - oldest profession - is not going away . Reduces AIDS and STDs when controlled . Half the celebrities are sex workers of sorts selling their bodies so why not the ones who actually have sex be allowed . Not everyone wants to do that . It has a strange effect on the psyche of women . An act made for bonding and love done with people you do nt like - messes with the mind .
more advice,"It has nothing to do with nutrition education. Nowadays, we have this magical thing called the internet. There are no excuses for not knowing what's healthy and what isn't. You're either too lazy to figure it out for yourself (and so you let the food companies tell you what to eat -- nice conflict of interest right there), or you simply don't care. I also like how you mention ridiculous ""documented"" results yet fail to provide said documents. A ""50% reduction in the incidence of children becoming overweight."" You can deduce that just by changing drinks in a vending machine? Please tell what analysis was performed to come to that fitting conclusion -- as a statistician, I'd love to know. And, Yael, ""100% juice"" isn't any better than soda. It's all garbage.",1,"It has nothing to do with nutrition education . Nowadays , we have this magical thing called the internet . There are no excuses for not knowing what 's healthy and what is n't . You 're either too lazy to figure it out for yourself ( and so you let the food companies tell you what to eat -- nice conflict of interest right there ) , or you simply do n't care . I also like how you mention ridiculous "" documented "" results yet fail to provide said documents . A "" 50 % reduction in the incidence of children becoming overweight . "" You can deduce that just by changing drinks in a vending machine ? Please tell what analysis was performed to come to that fitting conclusion -- as a statistician , I 'd love to know . And , Yael , "" 100 % juice "" is n't any better than soda . It 's all garbage ."
people,"I have taught at elite universities for the past 43 years. Before that, I served three years as an enlisted man in the United States Army and taught arithmetic to students in surveying students at the engineer school at Ft. Belvior. From this limited experience, I can make two observations. Students at elite universities have grown stronger in the last four decades and the state of American secondary education in 1964 was awful. Enlisted men who had had be selected to learn surveying had mathematic skills that were so weak we did not try to teach lowest common denominator when we covered fractions. I don't think we are getting dumber and we still have a system that can discover talent in students from less privileged backgrounds. The present state of political discourse is discouraging, but in the past we have had Senator McCarthy and his list of communists in the State Department, the hysteria leading to the Spanish-American War, the American Civil War and a very long list of disturbing events in Europe from the Holocaust to the Crusades. Be cheerful. It has always been this good or this bad.",1,"I have taught at elite universities for the past 43 years . Before that , I served three years as an enlisted man in the United States Army and taught arithmetic to students in surveying students at the engineer school at Ft . Belvior . From this limited experience , I can make two observations . Students at elite universities have grown stronger in the last four decades and the state of American secondary education in 1964 was awful . Enlisted men who had had be selected to learn surveying had mathematic skills that were so weak we did not try to teach lowest common denominator when we covered fractions . I do n't think we are getting dumber and we still have a system that can discover talent in students from less privileged backgrounds . The present state of political discourse is discouraging , but in the past we have had Senator McCarthy and his list of communists in the State Department , the hysteria leading to the Spanish - American War , the American Civil War and a very long list of disturbing events in Europe from the Holocaust to the Crusades . Be cheerful . It has always been this good or this bad ."
a problem,"This situation has existed for decades. The Illegal immigrants have provided needed labor in many areas of our country. They for the most part are industrious, hardworking, friendly and religious people. Stopping the flow of illegal immigrants could have happened decades ago by making it a crime punishable by fine or jail for anyone to hire an undocumented, illegal immigrant. For decades despite all of the talk, our government has given a nod and a wink for them to come here. They have raised their families here and have been a net positive to our society. WHAT SHOULLD BE ILLEGAL IS OUR GOVERNMENT USING AND ABUSING THESE PEOPLE, THEN BEATING THEM OVER THE HEAD SAYING THEY SHOULD BE DEPORTED ENMASS. Shame on the Republican party. Where is their conscious? What are their religious beliefS???????",1,"This situation has existed for decades . The Illegal immigrants have provided needed labor in many areas of our country . They for the most part are industrious , hardworking , friendly and religious people . Stopping the flow of illegal immigrants could have happened decades ago by making it a crime punishable by fine or jail for anyone to hire an undocumented , illegal immigrant . For decades despite all of the talk , our government has given a nod and a wink for them to come here . They have raised their families here and have been a net positive to our society . WHAT SHOULLD BE ILLEGAL IS OUR GOVERNMENT USING AND ABUSING THESE PEOPLE , THEN BEATING THEM OVER THE HEAD SAYING THEY SHOULD BE DEPORTED ENMASS . Shame on the Republican party . Where is their conscious ? What are their religious beliefS ? ? ? ? ? ? ?"
the status of public teachers,"Wait a minute: Don't very wealthy, un-elected people have huge power in every political area of influence in our culture. They have the success to show the way. We look up to them. Why shouldn't they have something constructive to say about education. I feel that traditionally trained teachers are chosen from the least talented pool of students. Their SAT and GRE scores are consistently in the bottom third. We need a bunch from the top third and the middle third, and we need huge improvement in MATH & SCIENCE. We do not need a bunch of obstructive, complacent union drones clogging up the arteries of education. We need more flexible educational leadership, and more rewards for excellent teachers.",1,"Wait a minute : Do n't very wealthy , un - elected people have huge power in every political area of influence in our culture . They have the success to show the way . We look up to them . Why should n't they have something constructive to say about education . I feel that traditionally trained teachers are chosen from the least talented pool of students . Their SAT and GRE scores are consistently in the bottom third . We need a bunch from the top third and the middle third , and we need huge improvement in MATH & SCIENCE . We do not need a bunch of obstructive , complacent union drones clogging up the arteries of education . We need more flexible educational leadership , and more rewards for excellent teachers ."
israel,The so-called Iranian threat is just a smokescreen employed by the Likudniks both in the U.S. and Israel to shove the peace process onto the back burner. Israel always paints itself as living under an existential threat in order to galvanize the support of worldwide Jewry. If Isreal were to make peace with its neighbors the diaspora would lose interest and emigration from Israel would increase. This is why the Israelis continue the occupation of the West Bank (including East Jerusalem) and the blockade of Gaza.,0,The so - called Iranian threat is just a smokescreen employed by the Likudniks both in the U.S. and Israel to shove the peace process onto the back burner . Israel always paints itself as living under an existential threat in order to galvanize the support of worldwide Jewry . If Isreal were to make peace with its neighbors the diaspora would lose interest and emigration from Israel would increase . This is why the Israelis continue the occupation of the West Bank ( including East Jerusalem ) and the blockade of Gaza .
capital gains,"Is this some kind of joke? Tax capital gains as income. Period. Tax securities transactions too, most of all high frequency computerized front-running, and pay for national socialized medical care with it, like England does. We've tried trickle-down since Nixon and it hasn't worked once. Tax the rich. Jail the bankers.",0,"Is this some kind of joke ? Tax capital gains as income . Period . Tax securities transactions too , most of all high frequency computerized front - running , and pay for national socialized medical care with it , like England does . We 've tried trickle - down since Nixon and it has n't worked once . Tax the rich . Jail the bankers ."
